series,season,title,subtitle,title_pic,inbound_ill,release,maincharacters,eventtimeframe,locations,release_year,author_pos,author,gender
Band 2481,Negasphäre,Günstlinge des Hyperraums,Sie sind die Prognostiker der Kolonne – ihr Auftrag ist die Erschaffung der Negasphäre,Alfred Kelsner,Michael Wittmann,"Freitag, 6. März 2009","Laurence Savoire, ESCHER, Latifalk, Canzuri, Poccelyn",Oktober 1347 NGZ,"Palkaron, Hangay",2009.0,a1,Wim Vandemaan,male
Band 2482,Negasphäre,Der ewige Kerker,Es gibt kein Entrinnen – die SOL in der Kernzone Hangay,Dirk Schulz,Michael Wittmann,"Freitag, 13. März 2009","Hajmo Siderip, Atlan da Gonozal, Ronald Tekener, Jawna Togoya, Inkadye, Volfdeprix, Goku Kong-Eslan, Murtaugh oder Skutnik",1347 NGZ,Hangay,2009.0,a1,Leo Lukas,male
Band 2483,Negasphäre,Die Nadel des Chaos,Einsatz in GLOIN TRAITOR – Entscheidung für ESCHER,Dirk Schulz,Michael Wittmann,"Freitag, 20. März 2009","Agent Atarin, ESCHER, Laurence Savoire, Isokrain, Pal Astuin",9. bis 23. Oktober 1347 NGZ,Hangay,2009.0,a1,Uwe Anton,male
Band 2484,Negasphäre,KOLTOROCS Atem,Kontaktwald im Abseits – eine Kartanin trifft die String-Legaten,Dirk Schulz,Dirk Schulz / Horst Gotta,"Freitag, 27. März 2009","Beth Astromo, Dao-Lin-H'ay, Git-Ka-N'ida, KOLTOROC",20. - 23. Oktober 1347 NGZ,Hangay,2009.0,a1,Horst Hoffmann,male
Band 2485,Negasphäre,Hyperflackern,Kosmische Waffenbrüder am Grenzwall – sie versuchen den Durchbruch,Dirk Schulz,Dirk Schulz / Horst Gotta,"Freitag, 3. April 2009","Perry Rhodan, Kamuko, Kantiran, Mondra Diamond",7. bis 24. Oktober 1347 NGZ,Grenzwall Hangay,2009.0,a1,Arndt Ellmer,male
Band 2486,Negasphäre,Wispern des Hyperraums,Mit der JULES VERNE in Hangay – der Weiße Saal offenbart sein Geheimnis,Dirk Schulz,Dirk Schulz / Horst Gotta,"Donnerstag, 9. April 2009","Perry Rhodan, Istorico, Der Nukleus, Curcaryen Varantir",24. Oktober 1347 NGZ,Hangay,2009.0,a1,Hubert Haensel,male
Band 2487,Negasphäre,Die String-Legaten,Der Kosmitter und der Kybernetiker – sie stoßen ins Zentrum der Nadel vor,Dirk Schulz,Dirk Schulz / Horst Gotta,"Freitag, 17. April 2009","Dr. Laurence Savoire, Isokrain, Unkaruch",24. bis 31. Oktober 1347 NGZ,Hangay,2009.0,a1,Christian Montillon,male
Band 2488,Negasphäre,Hinter dem Kernwall,An der Grenze der Chaos-Zone – das Innere von Hangay liegt offen,Swen Papenbrock,Swen Papenbrock,"Freitag, 24. April 2009","Perry Rhodan, Mondra Diamond, Der Nukleus, Gucky, Curcaryen Varantir",Oktober 1347 NGZ,Hangay,2009.0,a1,Michael Marcus Thurner,male
Band 2489,Negasphäre,Schach dem Chaos,Perry Rhodans wagemutiger Plan – eine Superintelligenz im Visier,Swen Papenbrock,Swen Papenbrock,"Donnerstag, 30. April 2009","Perry Rhodan, Dao-Lin-H'ay, Log-Aer-M'in, Ejdu Melia",3. bis 7. November 1347 NGZ,Hangay,2009.0,a1,Michael Marcus Thurner,male
Band 249,Die Meister der Insel,Der Geist der Maschine,Noch ist KALIF nicht verloren! – Reginald Bulls Männer gewinnen die dritte Schlacht…,Johnny Bruck,Johnny Bruck (5 x) / 4. Auflage,"Freitag, 10. Juni 1966","Steve Kantor, Reginald Bull, Oberstleutnant Koenig, Allan D. Mercant, Icho Tolot, Sid Lippman, Lucas DellaFera, Lott Warner, Reggie",Dezember 2402,Schrotschuss-System,1966.0,a1,Kurt Mahr,male
Band 2490,Negasphäre,Die dunklen Gärten,Angriff auf die Nadel des Chaos – Vergangenheit und Zukunft treffen sich,Swen Papenbrock,Swen Papenbrock,"Freitag, 8. Mai 2009","Perry Rhodan, WELTWEISER, Colten Gossi, Dewlet Ghiray, Wiia-Na-Daj",9. - 10. November 1347 NGZ,Hangay,2009.0,a1,Wim Vandemaan,male
Band 2491,Negasphäre,Der dritte Messenger,An der Akkretionsscheibe – die Generalin muss sich entscheiden,Swen Papenbrock,Swen Papenbrock,"Freitag, 15. Mai 2009","Perry Rhodan, Kantiran, Kamuko, Ca-Her-L'ron",10. bis 11. November 1347 NGZ,Hangay,2009.0,a1,Christian Montillon,male
Band 2492,Negasphäre,KOLTOROC,Geboren in der Lichtstadt – ein Potenzialfeld pervertiert,Alfred Kelsner,Michael Wittmann,"Freitag, 22. Mai 2009","Atlan, Inkadye, KOLTOROC, Trim Marath",5. bis 10. November 1347 NGZ,"Serdragon, Lichtstadt Paragor, Hangay",2009.0,a1,Uwe Anton,male
Band 2493,Negasphäre,Der WELTWEISE,Gestrandet auf dem Ozeanplaneten – sie kämpfen um die nackte Existenz,Alfred Kelsner,Michael Wittmann,"Freitag, 29. Mai 2009","Sahmsivil, Matheux Alan-Bari, Laurence Savoire, Sybel Bytter, Pal Astuin, Merlin Myhr, Avorru, Nifolarqe",November 1347 NGZ,Hangay,2009.0,a1,Leo Lukas,male
Band 2494,Negasphäre,Retroversion,Kampf in der Akkretionsscheibe – sie schwanken zwischen Hoffnung und Untergang,Alfred Kelsner,Michael Wittmann,"Freitag, 5. Juni 2009","Perry Rhodan, Der Nukleus, Kamuko, Kantiran",15. bis 17. November 1347 NGZ,Zentrumsregion von Hangay,2009.0,a1,Arndt Ellmer,male
Band 2495,Negasphäre,KOLTOROCS Feuer,Die Vibra-Staffel im Einsatz – das Schicksal der Kontaktwälder erfüllt sich,Alfred Kelsner,Michael Wittmann,"Freitag, 12. Juni 2009","Alomendris, Git-Ka-N'ida, Min-Da-N'or, Perry Rhodan",17. bis 19. November 1347 NGZ,"Vatucym, Vat-System",2009.0,a1,Horst Hoffmann,male
Band 2496,Negasphäre,Chaotender gegen Sol,Mit der DARK GHOUL bei den Posbis – Roi Danton wagt sich auf gefährliches Terrain,Swen Papenbrock,Swen Papenbrock,"Freitag, 19. Juni 2009","Roi Danton, Major Ustinoth, Senego Trainz, Knorm Ultrecht, und Wismo Kantelaki, Kalbaron Sunouff",17. - 19. November 1347 NGZ,"DARK GHOUL, Solsystem, Hundertsonnenwelt",2009.0,a1,Hubert Haensel,male
Band 2497,Negasphäre,Das Monokosmium,Der zweite Teil der Kybernetischen Konspiration – und der Kampf gegen Kirmizz,Swen Papenbrock,Swen Papenbrock,"Freitag, 26. Juni 2009","Roi Danton, Senego Trainz, Kirmizz, Zaubilski, Gessounin",19. - 20. November 1347 NGZ,"BOX-9912, Hundertsonnenwelt, Monokosmium",2009.0,a1,Hubert Haensel,male
Band 2498,Negasphäre,Die Duale Metropole,Rhodan stellt sich der Herausforderung – Einsatz gegen KOLTOROC,Swen Papenbrock,Swen Papenbrock,"Freitag, 3. Juli 2009","Perry Rhodan, KOLTOROC, Mondra Diamond, Inkadye",20. - 21. November 1347 NGZ,"Solsystem, Duale Metropole",2009.0,a1,Uwe Anton,male
Band 2499,Negasphäre,Das Opfer,Kampf zwischen Mensch und Superintelligenz – Rhodan muss sich entscheiden,Swen Papenbrock,Swen Papenbrock,"Freitag, 10. Juli 2009","Perry Rhodan, KOLTOROC, Mondra Diamond, Reginald Bull",21. November - 1. Dezember 1347 NGZ,"Solsystem, Duale Metropole",2009.0,a1,Uwe Anton,male
Band 25,Die Dritte Macht,Der Overhead,Seine Macht ist unbegrenzt – er zwingt jedes Gehirn in seinen Bann …,Johnny Bruck,Johnny Bruck (5 x),"Freitag, 23. Februar 1962","Perry Rhodan, Oberst Freyt, Reginald Bull, Clifford Monterny, Elmer Bradley, Homer G. Adams, Mr. Raleigh, Tako Kakuta, Captain Farina",1981,Terra,1962.0,a1,Kurt Mahr,male
Band 250,Die Meister der Insel,Die 6. Epoche,"Sein Name war Kalak. Er kam aus der Vergangenheit, um die Lebenden zu knechten.",Johnny Bruck,Johnny Bruck (4 x) / 4. Auflage,"Freitag, 17. Juni 1966","Perry Rhodan, Atlan, Oberst Melbar Kasom, Oberst Cart Rudo, Major Don Redhorse, Leutnant Ishe Moghu, Kalak, Batschadu",Januar 2404,"Gleam, Andromeda",1966.0,a1,K. H. Scheer,male
Band 2500,Stardust,Projekt Saturn,Sie öffnen das Tor zu den Sternen – die Frequenz-Monarchie wird ihr Gegner,Dirk Schulz (zusammen mit Michael Peter),NA,"Freitag, 17. Juli 2009","Perry Rhodan, Mondra Diamond, Milton DeBeer, Sinnafoch, Skulptis",3. - 7. Januar 1463 NGZ,Solsystem,2009.0,a1,Frank Borsch,male
Band 2501,Stardust,Die Frequenz-Monarchie,Einladung nach Markanu – es geht in die Endlose Stadt,Dirk Schulz,Dirk Schulz / Horst Gotta,"Freitag, 24. Juli 2009","Ariel Motrifis, Icho Tolot, Kharonis, Mondra Diamond,  Perry Rhodan",7. Januar 1463 NGZ,"ITHAFOR, Andury-Aphanur, Markanu",2009.0,a1,Christian Montillon,male
Band 2502,Stardust,Im Museumsraumer,Die Vierte Hyperdepression – die Frequenzmonarchie will herrschen,Dirk Schulz,Dirk Schulz / Horst Gotta,"Freitag, 31. Juli 2009","Ariel Motrifis, Icho Tolot, Kharonis, Mondra Diamond, Perry Rhodan",7.–8. Januar 1463 NGZ,Markanu,2009.0,a1,Christian Montillon,male
Band 2503,Stardust,Die Falle von Dhogar,Reginald Bull und der Frequenzfolger – in einem strategischen Spiel auf Leben und Tod,Dirk Schulz,Dirk Schulz / Horst Gotta,"Freitag, 7. August 2009","Reginald Bull, Sinnafoch, Lech Hallon",13.–16. Januar 1463 NGZ,Dhogar,2009.0,a1,Andreas Eschbach,male
Band 2504,Stardust,Die Hypersenke,Begegnung in der fremden Galaxis – im Bann eines sonderbaren Phänomens,Jorg de Vos,Michael Wittmann,"Freitag, 14. August 2009","Feubald, Perry Rhodan, Mondra Diamond, Icho Tolot, Leyharte Semfuu, Görn Exiffele Barost",8. bis 13. Januar 1463 NGZ,Kyon Megas,2009.0,a1,Leo Lukas,male
Band 2505,Stardust,Der Polyport-Markt,Sie erreichen den Polyport-Hof PERISTERA – das Handelszentrum von Toykana,Jorg de Vos,Michael Wittmann,"Freitag, 21. August 2009","Perry Rhodan, Mondra Diamond, Icho Tolot, Ulocco Lo'tus, Lanzenkaur",13. - 15. Januar 1463 NGZ,"PERISTERA, Kyon Megas",2009.0,a1,Michael Marcus Thurner,male
Band 2506,Stardust,Solo für Mondra Diamond,Unterwegs in einen Polyport-Hof – zwei Terraner und ein Haluter auf Erkundung,Jorg de Vos,Michael Wittmann,"Freitag, 28. August 2009","Perry Rhodan, Mondra Diamond, Icho Tolot, Ulocco Lo'tus",15. Januar 1463 NGZ,PERISTERA,2009.0,a1,Michael Marcus Thurner,male
Band 2507,Stardust,In der Halbspur-Domäne,Sie suchen den Heimweg – und treffen auf alte Bekannte,Jorg de Vos,Michael Wittmann,"Freitag, 4. September 2009","Perry Rhodan, Galhamo Ciono, Icho Tolot, Grek-1",15. bis 17. Januar 1463 NGZ,OROLOGION,2009.0,a1,Arndt Ellmer,male
Band 2508,Stardust,Unternehmen Stardust-System,Die Stardust-Chroniken – ein neuer Anfang für die Menschheit,Alfred Kelsner,Rainer Castor,"Freitag, 11. September 2009","Timber F. Whistler, Duncan Legrange, Rabea Furtok, Lotho Keraete","13. November 1346 NGZ, 25. Juni - 7. Juli 1347 NGZ, 10. August 1348 NGZ",Stardust-System,2009.0,a1,Uwe Anton,male
Band 2509,Stardust,Insel im Nebel,Die Stardust-Chroniken – auf der Suche nach kosmischen Geheimnissen,Alfred Kelsner,Swen Papenbrock,"Freitag, 18. September 2009","Duncan Legrange, Maximilian Lexa, Rikoph Furtok, Sigurd Echnatom, Timber F. Whistler, Vorremar Corma",2. Juni 1377 NGZ – 9. Februar 1389 NGZ,Stardust-System,2009.0,a1,Horst Hoffmann,male
Band 251,Die Meister der Insel,Die Armee der Biospalter,Die Regenerierten stürmen das Ultraschlachtschiff – und Gucky ergreift die Flucht …,Johnny Bruck,Johnny Bruck (4 x) / 4. Auflage,"Freitag, 24. Juni 1966","Bitzos, Perry Rhodan, Atlan, Kalak, Gucky, Major Don Redhorse, Sergeant Brazos Surfat",Januar 2404,KA-preiswert,1966.0,a1,William Voltz,male
Band 2510,Stardust,Die Whistler-Legende,Die Stardust-Chroniken – ein Terraner verwandelt sich auf unheimliche Weise,Alfred Kelsner,Swen Papenbrock,"Freitag, 25. September 2009","Belyona Anshin, Rikoph Furtok, Sean Legrange, Stuart Lexa, Timber F. Whistler",26. Februar 1394 NGZ - 30. Juni 1411 NGZ,Stardust-System,2009.0,a1,Hubert Haensel,male
Band 2511,Stardust,Schatten im Paradies,Die Stardust-Chroniken – seltsame Besucher erscheinen aus dem Nichts,Alfred Kelsner,Swen Papenbrock,"Freitag, 2. Oktober 2009","Sean Legrange, Stuart Lexa, Timber F. Whistler",30. Dezember 1462 NGZ bis 17. Januar 1463 NGZ,Stardust-System,2009.0,a1,Hubert Haensel,male
Band 2512,Stardust,Die TRAITOR-Marodeure,Konflikt mit der Vergangenheit – Ronald Tekener im Einsatz,Dirk Schulz / Michael Peter,Dirk Schulz / Horst Gotta,"Freitag, 9. Oktober 2009","Homer Gershwin Adams, Ronald Tekener, Monkey, Catalina",17. Januar 1463 NGZ,"Terra, Zorbar II, Adeksion",2009.0,a1,Christian Montillon,male
Band 2513,Stardust,Der verborgene Hof,Konfliktherd Mawego – Dron und Hasproner im Streit um eine Welt,Dirk Schulz,Dirk Schulz / Horst Gotta,"Freitag, 16. Oktober 2009","Homer Gershwin Adams, Ronald Tekener, Rigutt Salm, Senego Trainz, Alemc Frofoc, Schahid-Felah Arom-Neb-Luba Basba VI.",Januar 1463 NGZ,"Terra, Mawego",2009.0,a1,Christian Montillon,male
Band 2514,Stardust,Ein Fall für das Galaktikum,Sie sind Kämpfer für den Frieden – aber ihr Gegner ist mächtig,Dirk Schulz / Michael Peter,Dirk Schulz / Horst Gotta,"Freitag, 23. Oktober 2009","Imperator Bostich I., Reginald Bull, Leutnant Lech Hallon, Referror-8211, Sinnafoch",16. - 30. Januar 1463 NGZ,"ITHAFOR, Aurora",2009.0,a1,Arndt Ellmer,male
Band 2515,Stardust,Operation Hathorjan,Vorstoß nach Andromeda – ein Sonnentransmitter soll aktiviert werden,Dirk Schulz / Michael Peter,Dirk Schulz / Horst Gotta,"Freitag, 30. Oktober 2009","Atlan, Gaumarol da Bostich, Reginald Bull",18. - 21. Januar 1463 NGZ,"Aurora, Kharag-Sonnendodekaeder, Zhaklaan-Dreieck, Andromeda",2009.0,a1,Rainer Castor,male
Band 2516,Stardust,Die Tauben von Thirdal,Einsatz auf dem Planeten der Sternenhorcher – an der Schwelle zur schwarzen Gnade,Swen Papenbrock,Michael Wittmann,"Freitag, 06. November 2009","Gucky, Francinn Teseus-Chan, Perme Umbrar, Juwal Mowak",21. - 23. Januar 1463 NGZ,Thirdal,2009.0,a1,Leo Lukas,male
Band 2517,Stardust,Die Prototyp-Armee,Die JULES VERNE erreicht Multika – Atlan auf der Spur geheimer Experimente,Swen Papenbrock,Michael Wittmann,"Freitag, 13. November 2009","Atlan, Dork, Ruitort, Semwat Lenz, Weisnech",25. bis 30. Januar 1463 NGZ,Multika,2009.0,a1,Arndt Ellmer,male
Band 2518,Stardust,Patrouille der Haluter,Drangwäsche und Generationenkonflikt – sie stoßen auf Tefroder und Gaids,Swen Papenbrock,Michael Wittmann,"Freitag, 20. November 2009","Lingam Tennar, Icho Tennar, Fancan Tennar, Trascho Pesbyn, Sturben Rager",26. Januar bis 2. Februar 1463 NGZ,"Halpat, Donure",2009.0,a1,Christian Montillon,male
Band 2519,Stardust,Die Sonnen-Justierer,Spezialisten versuchen das Unmögliche – die JULES VERNE wagt den Vorstoß zum Sternhaufen Bengar,Swen Papenbrock,Michael Wittmann,"Freitag, 27. November 2009","Atlan, Captain Semwat Lenz, Dork, Canio Sarkyuin",30. Januar - 23. Februar 1463 NGZ,"Holoin-Fünfeck, Bengar, Kraltmock-System",2009.0,a1,Arndt Ellmer,male
Band 252,Die Meister der Insel,Die Welt der Regenerierten,"Als sie in Not sind, greift Kildering ein – das „heilige Werkzeug“ der kosmischen Ingenieure …",Johnny Bruck,Johnny Bruck (3 x) / 4. Auflage,"Freitag, 1. Juli 1966","Perry Rhodan, Atlan, Gucky, Major Don Redhorse, Sergeant Whip Gilliam, Kalak, Kildering, Bitzos",Januar 2404,Ollura,1966.0,a1,William Voltz,male
Band 2520,Stardust,Grenzgängerin des Schleiers,Sie erforschen Far Away – Kristallschiffe stoßen in den Sternhaufen vor,Alfred Kelsner,Michael Wittmann,"Freitag, 4. Dezember 2009","Timber F. Whistler, Perry Rhodan, Conail Skali, Dr. Kom Agonis, Makron",17. Januar - 19. Januar 1463 NGZ,"P-17-25-1463, Sionis, Katarakt, Aveda, NEO-OLYMP",2009.0,a1,Hubert Haensel,male
Band 2521,Stardust,Kampf um KREUZRAD,Perry Rhodan auf Mission mit dem Museumsraumer – sie erreichen einen geheimnisvollen Hof,Alfred Kelsner,Michael Wittmann,"Freitag, 11. Dezember 2009","Perry Rhodan, Stuart Lexa, Sean Legrange, Protektor Warhl, Bellyr",22. bis 24. Januar 1463 NGZ,KREUZRAD,2009.0,a1,Michael Marcus Thurner,male
Band 2522,Stardust,Winter auf Wanderer,Perry Rhodan beim Unsterblichen – ES ist in Gefahr,Dirk Schulz (zusammen mit Michael Peter),Michael Wittmann,"Freitag, 18. Dezember 2009","Perry Rhodan, ES, Mondra Diamond, Ras Tschubai/Fellmer Lloyd",24. Januar - 10. März 1463 NGZ,"Aveda, Wanderer",2009.0,a1,Uwe Anton,male
Band 2523,Stardust,Am Rand von Amethyst,Er ist ein Krieger der Jaranoc – und sein Feind ist menschliches Leben,Dirk Schulz / Horst Gotta,Michael Wittmann,"Freitag, 25. Dezember 2009","Eritrea Kush, Icho Tolot, Kardo Tarba, Sandior, Vuran Khitar",25. bis 26. Januar 1463 NGZ,"Amethyst-Stadt, Katarakt",2009.0,a1,Christian Montillon,male
Band 2524,Stardust,Der Sturmplanet,Die JULES VERNE in der Hades-Dunkelwolke – Gucky macht eine erstaunliche Entdeckung,Swen Papenbrock,Swen Papenbrock,"Donnerstag, 31. Dezember 2009","Atlan, Gucky, Iris Shettle, Uturan Kook, Chucan Tica, Francinn Teseus-Chan",24. Februar bis 11. März 1463 NGZ,Ausgabe 429,2009.0,a1,Leo Lukas,male
Band 2525,Stardust,Mit den Augen der Gaids,Sie sind ein Sternenvolk Andromedas – aber sie kämpfen auf der Seite der Frequenz-Monarchie,Swen Papenbrock,Swen Papenbrock,"Freitag, 8. Januar 2010","Atlan, Cerdo Perisa, Sári Várady, Vastrear","1331 NGZ, 1344 NGZ, 1360 NGZ, 1448 NGZ, 1456 NGZ, 1461 NGZ, 11. März 1463 NGZ",Andromeda,2010.0,a1,Wim Vandemaan,male
Band 2526,Stardust,Die Gespenster von Gleam,Terraner erkunden eine alte Stützpunktwelt – sie erleben eine Überraschung der besonderen Art,Swen Papenbrock,Swen Papenbrock,"Freitag, 15. Januar 2010","Urban Quaty, Lethem Shettle, Anais Berkoff, Adam Carden",28. Februar 1463 NGZ,Gleam,2010.0,a1,Michael Marcus Thurner,male
Band 2527,Stardust,Kleiner Stern von Chatria,Ein tefrodisches Schicksal – die Frequenz-Monarchie zeigt ihr wahres Gesicht,Swen Papenbrock,Swen Papenbrock,"Freitag, 22. Januar 2010","Atlan, Shaline Pextrel, Eloa Nobili, Satol Nobili","1452 NGZ, 1457 NGZ, 1462 NGZ, 12. - 22. März 1463 NGZ","Sicatemo-System, Chatria",2010.0,a1,Arndt Ellmer,male
Band 2528,Stardust,Transmitter-Roulette,Sie suchen die TRAITOR-Jäger – und stoßen auf dunkle Geschäfte der Akonen,Dirk Schulz (zusammen mit Michael Peter),Dirk Schulz / Horst Gotta,"Freitag, 29. Januar 2010","Ronald Tekener, Jarstog, Belar tan Picas, Monkey, Simul tan Harol",5. - 22. Februar 1463 NGZ,LEMCHA OVIR,2010.0,a1,Christian Montillon,male
Band 2529,Stardust,Der Weg des Vatrox,Der Frequenzfolger und der Liga-Agent – aus Feinden werden Gefährten,Dirk Schulz,Dirk Schulz / Horst Gotta,"Freitag, 5. Februar 2010","Reginald Bull, Sinnafoch, Steelion Hartok, Philip",8. bis 26. Februar 1463 NGZ,Oxtorne,2010.0,a1,Frank Borsch,male
Band 253,Die Meister der Insel,Vorstoß in die Dunkelwelt,Pflanzen sind die Herren der Dschungelwelt – und die Menschen werden versklavt!,Johnny Bruck,Johnny Bruck (4 x) / 4. Auflage,"Freitag, 8. Juli 1966","Baar Lun, Kalak, Perry Rhodan, Ollok, Oberst Cart Rudo, Icho Tolot, Captain Finch Eyseman, Son Hunha",Januar 2404,"Ollura, Bengal",1966.0,a1,H. G. Ewers,male
Band 2530,Stardust,Der Oxtorner und die Mehandor,Auf einem Raumfrachter der Springer – der Frequenzfolger trickst und kämpft,Dirk Schulz (zusammen mit Michael Peter),Dirk Schulz / Horst Gotta,"Freitag, 12. Februar 2010","Reginald Bull, Sinnafoch, Steelion Hartok, Philip, Kithara, Vandur",26. bis ?? Februar 1463 NGZ,UHLM,2010.0,a1,Frank Borsch,male
Band 2531,Stardust,Das Fanal,Im Blauen System bahnt sich Großes an – der Maskenträger und der Smiler ermitteln,Dirk Schulz / Peter Eickmeyer,Dirk Schulz / Horst Gotta,"Freitag, 19. Februar 2010","Alaska Saedelaere, Ronald Tekener, Reino tan Vitar, Narvan tan Ra-Osar, Simul tan Harol",6. bis 26. März 1463 NGZ,Akon-System,2010.0,a1,Marc A. Herren,male
Band 2532,Stardust,Tod eines Maahks,Auf dem Polyport-Hof DARASTO – der Kampf der Wasserstoffatmer entbrennt,Alfred Kelsner,Michael Wittmann,"Freitag, 26. Februar 2010","Perry Rhodan, Perbo Lamonca, Lloyd/Tschubai, Grek 363",10. März 1463 NGZ,DARASTO,2010.0,a1,Michael Marcus Thurner,male
Band 2533,Stardust,Reise in die Niemandswelt,Er ist ein Totengast – und er hat einen mächtigen Feind im Reich der Phantome,Alfred Kelsner,Michael Wittmann,"Freitag, 5. März 2010","Perry Rhodan, Mondra Diamond, Lloyd/Tschubai, Grek 124",10. März 1463 NGZ,DARASTO,2010.0,a1,Wim Vandemaan,male
Band 2534,Stardust,Der Gesandte der Maahks,Gäste auf DARASTO – Mondra Diamond muss vermitteln,Alfred Kelsner,Michael Wittmann,"Freitag, 12. März 2010","Perry Rhodan, Mondra Diamond, Lloyd/Tschubai, Akika Urismaki",10. bis 14. März 1463 NGZ,DARASTO,2010.0,a1,Christian Montillon,male
Band 2535,Stardust,Der Seelen-Kerker,Intrigen in der Frequenz-Monarchie – Sinnafoch kämpft um Macht und Einfluss,Alfred Kelsner,Michael Wittmann,"Freitag, 19. März 2010","Cedosmo, Kruuper, Philip, Sinnafoch, Vertebris",um den 22. März 1463 NGZ,Andromeda,2010.0,a1,Frank Borsch,male
Band 2536,Stardust,Der verborgene Raum,Perry Rhodan erhält einen Auftrag – und die JULES VERNE entdeckt das Feuerauge,Swen Papenbrock,Swen Papenbrock,"Freitag, 26. März 2010","Atlan, Grek 11, Perry Rhodan, Lloyd/Tschubai, Semwat Lenz",15.–22. März 1463 NGZ,"DARASTO, JULES VERNE, Sicatemo-System",2010.0,a1,Arndt Ellmer,male
Band 2537,Stardust,Der Handelsstern,Sie erforschen die Rätsel von FATICO – und durchlaufen eine außergewöhnliche Karriere,Swen Papenbrock,Swen Papenbrock,"Donnerstag, 1. April 2010","Perry Rhodan, Atlan, Pü S'Karbunc, Satwa, Iris Shettle, Ponson Merez",22. März - 5. April 1463 NGZ,"FATICO, JULES VERNE",2010.0,a1,Leo Lukas,male
Band 2538,Stardust,Aufbruch der LEUCHTKRAFT,Begegnung in Totemhain – das Geheimnis der Lokopter,Dirk Schulz (zusammen mit Michael Peter),Swen Papenbrock,"Freitag, 9. April 2010","Alaska Saedelaere, Samburi Yura, Ennerhahl, Eroin Blitzer",10. April - ??. April 1463 NGZ,"LEUCHTKRAFT, Kopters Horst",2010.0,a1,Robert Feldhoff,male
Band 2538,Stardust,Aufbruch der LEUCHTKRAFT,Begegnung in Totemhain – das Geheimnis der Lokopter,Dirk Schulz (zusammen mit Michael Peter),Swen Papenbrock,"Freitag, 9. April 2010","Alaska Saedelaere, Samburi Yura, Ennerhahl, Eroin Blitzer",10. April - ??. April 1463 NGZ,"LEUCHTKRAFT, Kopters Horst",2010.0,a2,Uwe Anton,male
Band 2539,Stardust,Schreine der Ewigkeit,Der Maskenträger und die Zeremonie der Lokopter – die letzten Sieben werden gesucht,Swen Papenbrock,Swen Papenbrock,"Freitag, 16. April 2010","Alaska Saedelaere, Keffira Sötest Lokop, Svage Kittel Lokop, Syrst Tykvenst Lokop",??. April 1463 NGZ,"LEUCHTKRAFT, Kopters Horst",2010.0,a1,Marc A. Herren,male
Band 254,Die Meister der Insel,Die Geistersonne,Die CREST ist im kosmischen Labyrinth verschollen – und die letzten Männer des Landekommandos kämpfen einen verzweifelten Kampf …,Johnny Bruck,Johnny Bruck (4 x) / 4. Auflage,"Freitag, 15. Juli 1966","Das Bluul, John Marshall, Oberst Cart Rudo, Gucky, Baar Lun, Andohr, Ollok, Rakal und Tronar Woolver",2404,Bengal,1966.0,a1,H. G. Ewers,male
Band 2540,Stardust,Unter dem Schleier,Zweikampf mit der schwarzen Bestie – und das Geheimnis des Aveda-Mondes,Swen Papenbrock,Swen Papenbrock,"Freitag, 23. April 2010","Timber F. Whistler, Icho Tolot, Eritrea Kush, Kardo Tarba",26. Januar - 5. Februar 1463 NGZ,"Katarakt, Crest",2010.0,a1,Christian Montillon,male
Band 2541,Stardust,Geheimprojekt Stardust,Bittere Erkenntnis eines Siganesen – und etwas durchdringt den Schleier,Dirk Schulz (zusammen mit Michael Peter),Dirk Schulz / Horst Gotta,"Freitag, 30. April 2010","Timber F. Whistler, Vorremar Corma, Huslik Valting, Muggan Mouritz",6. - 11. Februar 1463 NGZ,"KATARAKT, Crest",2010.0,a1,Christian Montillon,male
Band 2542,Stardust,Shandas Visionen,Brennpunkt Stardust-System – das Unheimliche erscheint,Dirk Schulz (zusammen mit Michael Peter),Dirk Schulz / Horst Gotta,"Freitag, 7. Mai 2010","Shanda Sarmotte, Vorremar Corma, Huslik Valting","1457 NGZ, 11. Februar 1463 NGZ","Katarakt, Stardust City",2010.0,a1,Hubert Haensel,male
Band 2543,Stardust,Flucht nach Talanis,Stille über Stardust City – zwei Mutanten suchen ihre Chance,Dirk Schulz,Dirk Schulz / Horst Gotta,"Freitag, 14. Mai 2010","Shanda Sarmotte, Vorremar Corma, Huslik Valting, Rence Ebion",11./12. Februar 1463 NGZ,"Stardust City, Aveda",2010.0,a1,Hubert Haensel,male
Band 2544,Stardust,Gefangene des Handelssterns,Psychospiel um FATICO – Rhodans Team trifft auf ebenbürtige Gegner,Alfred Kelsner,Dirk Schulz / Horst Gotta,"Freitag, 21. Mai 2010","Perry Rhodan, Vastrear, Gucky, Pral, Fellmer Lloyd/Ras Tschubai, Satwa, S'Karbunc",5. April 1463 NGZ,FATICO,2010.0,a1,Leo Lukas,male
Band 2545,Stardust,Vatrox-Tod,Angriff auf eine Hibernationswelt – der Test für eine Waffe gegen die Frequenz-Monarchie,Alfred Kelsner,Dirk Schulz / Horst Gotta,"Freitag, 28. Mai 2010","Perry Rhodan, Atlan, Roman Schleifer, Grek 17",14. bis 16. April 1463 NGZ,"JULES VERNE, MICHAEL FREYT III",2010.0,a1,Michael Marcus Thurner,male
